,Artist(s),Total Tracks
A Place We Knew,Dean Lewis,12
The World Is Yours 2,Rich The Kid,16
Patience,Tame Impala,single
Tempo (feat. Missy Elliott),"Lizzo, Missy Elliott",3
Confessions of a Dangerous Mind,Logic,single
Bad Habits,NAV,16
Te Robaré,"Nicky Jam, Ozuna",single
I Don't Belong In This Club,"Why Don't We, Macklemore",2
54+1,Danny Ocean,13
Your Peace,Jacquees,single
Nothing Happens,Wallows,11
Rival,LANCO,single
Walk (Remix),"Comethazine, A$AP Rocky",single
Sex Talk,Megan Thee Stallion,single
SouthSide,"DJ Snake, Eptic",single
Style,Foster The People,2
I Like Girls (feat. Lil Skies),PnB Rock,single
Watch Me (Remix),Jaden Smith,single
Cristina,Sebastian Yatra,single
On My Way,"Alan Walker, Sabrina Carpenter, Farruko",single
Unemployed,Tierra Whack,single
Coke & Henny Pt. 1,Pink Sweat$,single
Green Light Go,Becky G,single
My Finest Work Yet,Andrew Bird,10
2all,Catfish and the Bottlemen,single
The Dirt Soundtrack,Mötley Crüe,18
El Camino,Black Caviar,2
No Words Left,Lucy Rose,11
Close,BJ The Chicago Kid,single
On The Line,Jenny Lewis,11
On My Momma 2,Yhung T.O.,13
Fingías,Paloma Mami,single
Háblame / Corazón De Roca,"Chicano Batman, Caloncho",2
Nowhere To Run,Ryan Trey,single
East Oakland Legend,Philthy Rich,single
Numb Numb Juice,ScHoolboy Q,single
No New Friends,"Sia, Diplo, Labrinth",6
Tic Toc (with Tory Lanez),"Rich The Kid, Tory Lanez",single
Lux Prima,"Karen O, Danger Mouse",9
R.I.P. (feat. Rita Ora & Anitta),"Sofia Reyes, Rita Ora, Anitta",single
King James,Anderson .Paak,single
Contra La Pared,"Sean Paul, J Balvin",2
Missed Connection,The Head and the Heart,single
BITCH (takes one to know one),Lennon Stella,single
Who's Got Your Love,"Cheat Codes, Daniel Blume",single
portraits,Greyson Chance,12
The Weight Of The Badge,George Strait,single
"Baby Mine (From ""Dumbo"")",Arcade Fire,single
Bacc At It Again,"Yella Beezy, Quavo, Gucci Mane",single
TOGETHER,Third Party,9
